DisplayName                                                                                         |Version             |Publisher                     |InstallDate
Microsoft-System-CLR-Typen für SQL Server 2019                                                      |15.0.2000.5         |Microsoft Corporation         |20221124
Microsoft Windows Desktop Runtime - 6.0.11 (x64)                                                    |48.47.50419         |Microsoft Corporation         |20221124
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                                                |24.0.28113          |Microsoft Corporation         |20221124
Microsoft ASP.NET Core 7.0.0 Shared Framework (x64)                                                 |7.0.0.22518         |Microsoft Corporation         |20221124
Python 3.11.1 Executables (64-bit)                                                                  |3.11.1150.0         |Python Software Foundation    |20230127
Intel(R) Management Engine Driver                                                                   |1.0.0.0             |Intel Corporation             |20181012
Adobe Acrobat (64-bit)                                                                              |23.003.20215        |Adobe                         |20230625
IIS Express Application Compatibility Database for x86                                              |                    |                              |        
Microsoft .NET SDK 7.0.100 (x64) from Visual Studio                                                 |7.1.22.52112        |Microsoft Corporation         |20221124
Microsoft Update Health Tools                                                                       |3.72.0.0            |Microsoft Corporation         |20230509
Microsoft .NET Host - 7.0.0 (x64)                                                                   |56.3.50341          |Microsoft Corporation         |20221124
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)                                           |56.3.50341          |Microsoft Corporation         |20221124
Microsoft .NET Runtime - 6.0.11 (x64)                                                               |48.47.50420         |Microsoft Corporation         |20221124
Microsoft Azure Libraries for .NET – v2.9                                                           |3.0.0127.060        |Microsoft Corporation         |20221124
Python 3.11.1 pip Bootstrap (64-bit)                                                                |3.11.1150.0         |Python Software Foundation    |20230127
VS Script Debugging Common                                                                          |17.0.118.0          |Microsoft Corporation         |20221124
Intel(R) Trusted Connect Service Client x64                                                         |1.48.197.0          |Intel Corporation             |20181012
Apple Mobile Device Support                                                                         |16.5.0.12           |Apple Inc.                    |20230414
Microsoft .NET AppHost Pack - 6.0.11 (x64_arm)                                                      |48.47.50420         |Microsoft Corporation         |20221124
DisplayLink Graphics                                                                                |10.2.7042.0         |DisplayLink Corp.             |20221214
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030                                          |11.0.61030          |Microsoft Corporation         |20230414
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.34.31931                                         |14.34.31931         |Microsoft Corporation         |20221124
Dolby Atmos Windows APP                                                                             |1.1.8.23            |Dolby Laboratories, Inc.      |20221107
Python 3.11.1 Utility Scripts (64-bit)                                                              |3.11.1150.0         |Python Software Foundation    |20230127
Intel(R) ME UninstallLegacy                                                                         |1.0.1.0             |Intel Corporation             |20181012
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.34.31931                                      |14.34.31931         |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 6.0.11 (x64_arm64)                                                    |48.47.50420         |Microsoft Corporation         |20221124
Python 3.11.1 Test Suite (64-bit)                                                                   |3.11.1150.0         |Python Software Foundation    |20230127
Microsoft ASP.NET Core Module V2 for IIS Express                                                    |17.0.22116.0        |Microsoft Corporation         |20221124
Dolby Atmos Windows API SDK                                                                         |1.1.9.33            |Dolby Laboratories, Inc.      |20221107
Managed Antivirus Master Service                                                                    |54.6.1.4            |N-able Technologies           |20221101
IntelliTraceProfilerProxy                                                                           |15.0.21225.01       |Microsoft Corporation         |20221124
Microsoft .NET Host FX Resolver - 7.0.0 (x64)                                                       |56.3.50341          |Microsoft Corporation         |20221124
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)                                           |56.3.50341          |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 6.0.11 (x64)                                                          |48.47.50420         |Microsoft Corporation         |20221124
Microsoft ASP.NET Core Module for IIS Express                                                       |12.2.18292.0        |Microsoft Corporation         |20221124
Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64)                                                    |33.0.4              |Microsoft Corporation         |20221124
DiagnosticsHub_CollectionService                                                                    |17.3.32601          |Microsoft Corporation         |20221124
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                                               |56.31.50225         |Microsoft Corporation         |20221124
